qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q56	core	rowfilter	0	3902	0	0	3	3		1
q57	core	rowfilter	0	3919	0	0	0	1		1
q58	core	rowfilter	0	3948	0	0	0	9		1
q59	core	rowfilter	0	3985	0	0	0	3		1
q60	core	rowfilter	0	3507	0	0	3	3		1
q61	core	rowfilter	0	3857	0	2	2	2		1
q62	core	rowfilter	0	3758	0	0	0	1		1
q63	core	rowfilter	0	3854	0	0	0	1		1
q64	core	rowfilter	0	4250	0	1	2	3		1
q65	core	rowfilter	0	3549	0	0	0	2		1
q66	core	rowfilter	0	4541	0	0	0	2		1
q67	core	rowfilter	0	3649	0	0	0	1		1
q68	core	rowfilter	0	3554	0	1	2	1		1
q69	core	rowfilter	0	3811	0	1	1	3		1
q70	core	rowfilter	0	3736	0	0	0	2		1
q71	core	rowfilter	0	3710	0	0	0	3		1
q72	core	rowfilter	1	3229	0	0	0	0	VALIDATION_ERROR	-1
q73	core	rowfilter	0	3681	0	1	0	1		1
q74	core	rowfilter	0	4418	0	2	0	2		1
q75	core	rowfilter	0	3862	0	0	0	3		1
q76	core	rowfilter	0	3920	0	0	0	3		1
q77	core	rowfilter	0	4233	0	0	0	6		1
q78	core	rowfilter	0	3939	0	0	0	3		1
q79	core	rowfilter	0	3410	0	1	0	1		1
q80	core	rowfilter	1	4298	0	0	0	0	VALIDATION_ERROR	-1
q81	core	rowfilter	0	3579	0	1	2	1		1
q82	core	rowfilter	0	3657	0	0	0	1		1
q83	core	rowfilter	0	3851	0	0	0	9		1
q84	core	rowfilter	0	3528	0	1	1	0		1
q85	core	rowfilter	0	3423	0	0	4	1		1
q86	core	rowfilter	0	3699	0	0	0	1		1
q87	core	rowfilter	0	3819	0	3	0	3		1
q88	core	rowfilter	0	3643	0	0	0	0		1
q89	core	rowfilter	0	3508	0	0	0	1		1
q90	core	rowfilter	0	3536	0	0	0	0		1
q91	core	rowfilter	0	3683	0	1	1	1		1
q92	core	rowfilter	0	3346	0	0	0	2		1
q93	core	rowfilter	0	3646	0	0	0	0		1
q94	core	rowfilter	0	3594	0	0	1	1		1
q95	core	rowfilter	0	3855	0	0	1	1		1
q96	core	rowfilter	0	3376	0	0	0	0		1
q97	core	rowfilter	0	3672	0	0	0	2		1
q98	core	rowfilter	0	3902	0	0	0	1		1
q99	core	rowfilter	0	3461	0	0	0	1		1
q01	core	both	0	5124	1	1	0	1		1
q02	core	both	0	3524	0	0	0	3		1
q03	core	both	0	3643	0	0	0	1		1
q04	core	both	0	4410	3	3	0	3		1
q05	core	both	1	4426	0	0	0	0	VALIDATION_ERROR	-1
q06	core	both	0	4238	0	1	1	2		1
q07	core	both	0	3503	0	0	0	1		1
q08	core	both	0	3985	0	1	2	1		1
q09	core	both	1	3281	0	0	0	0	LINEAGE_UNKNOWN	-1
q10	core	both	0	4175	0	1	1	3		1
q11	core	both	0	3900	3	2	0	2		1
q12	core	both	0	3563	0	0	0	1		1
q13	core	both	0	3379	0	0	4	1		1
q14	core	both	0	4742	0	0	0	9		1
q15	core	both	0	4359	0	1	1	1		1
q16	core	both	0	4047	0	0	1	1		1
q17	core	both	0	3926	0	0	0	3		1
q18	core	both	0	3538	0	1	1	1		1
q19	core	both	0	3650	0	1	1	1		1
q20	core	both	0	3515	0	0	0	1		1
q21	core	both	0	3654	0	0	0	1		1
q22	core	both	0	3464	0	0	0	1		1
q23	core	both	0	4155	2	4	0	4		1
q24	core	both	0	3679	2	1	1	0		1
q25	core	both	0	3600	0	0	0	3		1
